fecha,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,embi_peru
2014-12-01,252936.3265098,152489.10626332,46674.49248,36097.68308,15.6694,2.2739,3.5,2.9615,14794.32,80.9932305840506,146.632069731315,171.814358674264,62308.10238,68382.058719,275282.466191,357541.40138146,3.7956,81.7000299780756,181.91304347826087
2015-01-01,256052.55,151716.89360992,46932.35736,36231.66976,16.1668,2.2448,3.25,3.005525,13669.78,81.1311585614732,147.756580366387,155.684158472474,62618.83685,65926.085481,274211.500774,359132.3253769,3.3439,81.9627154211783,201.22727272727272
2015-02-01,258367.46,151334.94100228,47372.35252,36476.80116,15.9979,2.22,3.25,3.078525,13397.42,81.3773664204482,148.530397765917,152.038039568949,61896.32472,66294.286847,276090.415277,364695.56992052,3.4305,82.2405527683738,182.85
2015-03-01,261317.44,152789.78147668,48023.02468,36830.01228,16.0777,2.2281,3.25,3.09168181818182,12461.81,81.9996299525466,149.7342466296,167.489140214842,61323.23995,64786.879876,273192.194208,363265.5650622,3.3527,82.9837699507559,184.45454545454547
2015-04-01,265737.69,155034.19678168,48648.25984,37024.28612,15.9223333333333,2.21466666666667,3.25,3.1199525,13366.86,82.3198438304482,152.471072114303,172.493764331988,61626.85287,64051.264487,274847.83807,366144.81461056,3.5151,83.2968473644219,176.95454545454547
2015-05-01,269634.02,156482.9241506,49517.16112,37254.93196,16.0042,2.2732,3.25,3.15045,13180.61,82.7844285692493,148.001598467745,167.940695966453,60413.11782,63795.321991,276256.319732,368639.21012968,3.4798,83.5463875957903,165.9047619047619
2015-06-01,271083.57,155832.8829598,50203.95192,37274.36152,16.1823,2.2477,3.25,3.16123809523809,13113.17,83.0595554554826,150.273069169179,164.569061017114,60017.21489,63748.780117,275778.732473,369354.81707264,3.4243,83.7602781401547,176.5
2015-07-01,273331.29,157463.39871092,50144.48416,37362.2028,16.1542,2.2132,3.25,3.18125,11987.88,83.4339766262131,151.302115642306,169.253165789017,59733.7865,65306.150665,278596.075437,372873.09224097,3.4638,84.0045977909086,186.69565217391303
2015-08-01,277941.89,159857.07613644,50797.1184,37675.72024,16.2516,2.2558,3.25,3.23835714285714,10340.55,83.7487113799077,150.176590820722,162.516129147123,60612.67381,64632.756175,271630.89981,370712.1499362,3.6141,84.2416093758951,217.47619047619048
2015-10-01,285054.91,162449.93678252,52017.97948,38227.41796,16.2439,2.37870967741936,3.5,3.248375,10545.69,83.8913998281912,153.589302916454,169.303065461285,62171.67329,66609.961716,277093.66425,382024.47551374,3.521,84.6540052539949,225.9090909090909
