fecha,Crédito sector privado,Crédito hipotecario,Crédito consumo,Crédito en ME,Tasa activa (TAMN),Tasa referencia BCRP,Tipo de cambio S//$,PBI (índice),Demanda interna
2005-06-01,3.25299523809524,3.25276190476191,3.25338095238095,3.25214285714286,25.9918668608436,3.0,3.25276190476191,85.2863565757417,81.7268330038035
2005-07-01,3.25213157894737,3.25205263157895,3.25278947368421,3.25131578947369,25.9798262755594,3.0,3.25205263157895,85.9444109656823,78.4967192768007
2005-08-01,3.25767272727273,3.25734090909091,3.25790909090909,3.25677272727273,25.7,3.0,3.25734090909091,85.6791195518041,76.3061587308062
2005-09-01,3.30762727272727,3.30752272727273,3.30840909090909,3.30663636363636,25.59,3.0,3.30752272727273,86.5245707615074,74.8347324857505
2005-10-01,3.38044761904762,3.38078571428571,3.38190476190476,3.37966666666667,24.61,3.0,3.38078571428571,87.1234289716052,79.8119877988352
2005-11-01,3.37676190476191,3.37607142857143,3.377,3.37514285714286,24.49,3.0,3.37607142857143,89.0875532678117,86.1662852117896
2005-12-01,3.42449047619048,3.42428571428571,3.42528571428571,3.42328571428571,23.63,3.25,3.42428571428571,87.9121131862351,78.9587915612813
2006-01-01,3.39319545454545,3.39329545454545,3.39427272727273,3.39231818181818,24.14,3.5,3.39329545454545,89.6057266309361,83.8542549986616
2006-02-01,3.288465,3.288725,3.2896,3.28785,24.08,3.75,3.288725,89.9481239292913,82.1276856151372
2006-03-01,3.34001739130435,3.33932608695652,3.34026086956522,3.33839130434783,24.28,4.0,3.33932608695652,91.6266066789985,88.4920278153538
2006-04-01,3.3313,3.33152777777778,3.33227777777778,3.33077777777778,24.26,4.25,3.33152777777778,90.8316629786575,87.9121116153634
2006-05-01,3.27853636363636,3.27904090909091,3.27996818181818,3.27811363636364,24.38,4.5,3.27904090909091,90.9746543165763,96.7898450056375
2006-06-01,3.26390952380952,3.26406428571429,3.26464761904762,3.26348095238095,24.34467,4.5,3.26406428571429,91.8803909655891,92.2136859460145
2006-07-01,3.243425,3.2431,3.2437,3.2425,24.14,4.5,3.2431,91.5394183789024,84.9666798981485
2006-08-01,3.23479090909091,3.23438636363636,3.23504545454545,3.23372727272727,24.05,4.5,3.23438636363636,93.2506012930156,89.3470114682677
2006-09-01,3.24791428571429,3.24773809523809,3.24842857142857,3.24704761904762,23.89,4.5,3.24773809523809,92.6041150857929,82.9851093440267
2006-10-01,3.23740909090909,3.23745454545455,3.23804545454545,3.23686363636364,23.42,4.5,3.23745454545455,93.6013059043123,91.4866478335846
2006-11-01,3.22249047619048,3.22209523809524,3.22257142857143,3.22161904761905,23.14,4.5,3.22209523809524,93.6957748663498,92.2560001187993
2006-12-01,3.20508947368421,3.20531578947368,3.206,3.20463157894737,23.08,4.5,3.20531578947368,94.6343467920095,92.4299521766479
2007-01-01,3.19266363636364,3.1925,3.19304545454546,3.19195454545454,23.75,4.5,3.1925,96.1704480882607,93.2303106917057
2007-02-01,3.19029,3.1903,3.19075,3.18985,23.57,4.5,3.1903,96.2881263161898,88.8989687916799
2007-03-01,3.18557727272727,3.18561363636364,3.18618181818182,3.18504545454546,23.4,4.5,3.18561363636364,97.8314819751364,95.8545612432049
2007-04-01,3.17824210526316,3.17828947368421,3.17868421052632,3.1778947368421,22.7813333333333,4.5,3.17828947368421,97.4418401983132,98.3570111219344
2007-05-01,3.16761818181818,3.16752272727273,3.16804545454545,3.167,22.13,4.5,3.16752272727273,100.527037479075,107.184472888541
2007-06-01,3.170315,3.1702,3.17065,3.16975,22.41,4.5,3.1702,99.5749215128561,99.2128146919206
2007-07-01,3.16092272727273,3.16090909090909,3.16140909090909,3.16040909090909,23.2684,4.75,3.16090909090909,100.210927651919,100.443853932366
2007-08-01,3.15747272727273,3.15818181818182,3.15877272727273,3.15759090909091,22.86484,4.75,3.15818181818182,100.651163150322,102.171396768093
2007-09-01,3.135545,3.135975,3.13645,3.1355,22.5383333333333,5.0,3.135975,100.978217436819,97.9004455209146
2007-10-01,3.01942727272727,3.01986363636364,3.02031818181818,3.01940909090909,22.75742,5.0,3.01986363636364,102.132121038679,104.457496244386
2007-11-01,3.00089047619048,3.001,3.00161904761905,3.00038095238095,22.543,5.0,3.001,103.674025022899,105.567331689782
2007-12-01,2.98104,2.980775,2.9816,2.97995,22.28445,5.0,2.980775,104.519690129532,106.721336415472
2008-01-01,2.95016818181818,2.95031818181818,2.951,2.94963636363636,23.25774,5.25,2.95031818181818,105.308133148231,101.997000001706
