,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,embi_peru
2017-08-01,0.005479935266278684,-0.018236902763484907,0.015487766977962544,-0.0005849833764198925,0.1761995887187832,0.4015117345544278,0.32913621819213296,0.05028844555176193,0.23094142045856006,0.09872891840204338,0.45842284442934955,0.404003448848064,-0.18259744996261454,-0.07563161289317606,0.022401159039053792,0.01845831303837636,0.27276726405715973,0.08930118239561598,-0.37087305681243704
2017-12-01,0.005584441069351712,-0.057255377721697254,0.09745489365768831,0.07297265882467302,0.06816240331652323,0.24897106685048043,0.18352525865483785,-0.16086654750650048,0.3592447497296336,0.10826694713180218,0.4897612222262712,0.4492300071943286,-0.1634823661607294,-0.08074020692857833,0.06529678364160918,0.046783017721985135,0.15027775924647668,0.11958712454604892,-0.44344272598365286
2018-03-01,-0.010042781617346565,-0.06986491207246565,0.10911427866472027,0.07499156584329093,0.05170730009078627,0.18554661717470164,0.14803020092912117,-0.22953676112912993,0.38803896784185293,0.0997151530982702,0.4834717037740278,0.4409084992472213,-0.15701963226658408,-0.08368424109644498,0.05568627140167013,0.0326810472800416,0.11994387154585585,0.11653249762874507,-0.46187767776130495
2018-06-01,-0.025167231543060865,-0.07401673877316242,0.09783674632013195,0.05813184859630914,0.04751474342940032,0.13333877264217497,0.126851693114304,-0.2388863176214145,0.39161026812874655,0.07470221224133544,0.496331169511599,0.4449927973370855,-0.15188400724086792,-0.08101192323436976,0.03879472794134944,0.01487584014104966,0.10322943264430642,0.09656332220734162,-0.48280518863707217
2018-10-01,-0.03269357871427453,-0.07051870710079354,0.078669910805439,0.038494428593670055,0.03908403554434151,0.09410220217299209,0.1102888061493499,-0.18856806308779828,0.40064645878764954,0.040320632973260356,0.5121104810612367,0.4639439410741366,-0.1322943120087956,-0.07214474135134535,0.02582032047649411,0.005031954205396906,0.08460901039470839,0.06476165891581909,-0.503773029773068
2019-01-01,-0.025882773569818697,-0.05377251720910769,0.04775014745281199,0.026095502521255753,0.012220230745486641,0.04749671985997988,0.10097039126482647,-0.07446336713246354,0.41314202796845345,0.011655528872871848,0.5367213902036844,0.47179787937226847,-0.11805606525507228,-0.04748751752899903,0.023565675788448454,0.01320497446067191,0.07992179671657096,0.031415699762433205,-0.5191827556997277
2019-04-01,-0.018769720629191574,-0.0368687426175173,0.011269526294136105,0.022416588273607443,-0.012728422823551692,0.01923710939008,0.1263151689662624,-0.007488518367538173,0.4167078633812528,0.019452929884830775,0.5507109837096786,0.48609667061294065,-0.0948507986791442,-0.033104047322184554,0.01018382922109585,0.0087862633583003,0.10376184950637525,0.023134330600313516,-0.49592701956918017
2019-07-01,-0.007866310269436771,-0.021986723344175705,-0.0030786751662455576,0.0317508514721742,-0.020020610968145208,0.01588222645555143,0.1974835429795877,0.03562787390580717,0.4104029049716388,0.05704702037865701,0.5648998365394033,0.49792859730648625,-0.07314451543176088,-0.025696040537924382,-0.01208298560288705,-0.0027524123424532386,0.17150195913738192,0.04085884456379398,-0.42607391004590545
2019-11-01,0.011829777826296671,-0.011646845684666235,0.057951014886779215,0.06992042054582034,0.008532859513244286,0.08477491498383188,0.36527840339526846,0.05666016489797817,0.3891312153354379,0.15249911715870762,0.5189766178662774,0.45367044900745296,-0.0553144652088931,-0.043599222762272294,-0.08022069140668785,-0.04990751495743542,0.3436497573436969,0.11023866251621339,-0.23154228566828358
2020-02-01,0.0267537453893231,-0.020757250949136902,0.1714070423715928,0.10474134966021878,0.11053634178568904,0.2654661747202408,0.4993239086278943,0.05920342433081308,0.20800579717273945,0.23094818594045002,0.3222001985938885,0.29109296497161474,-0.06343107063567821,-0.0766303313524807,-0.17784136694894198,-0.12333280938819528,0.49299547411781336,0.18376047212138993,0.06545239502912849
2020-05-01,0.006788344598787101,-0.05725671332903019,0.21261583214915555,0.10091162281943118,0.21591553593915913,0.3656411537149626,0.4664961121658178,0.014691156279406599,0.20505419670005656,0.21706115326818656,0.2366173937153623,0.21193154214284235,-0.10379553032876217,-0.10351243945541844,-0.21792156991971173,-0.1612429411288555,0.4671509673496271,0.18461167356051825,0.07605949718651271
2020-08-01,-0.01897266656735142,-0.09726794279197694,0.23669875481932745,0.09393783204518286,0.308354217811673,0.4128937837986673,0.4216631788374236,-0.03195686402515273,0.1821934262082587,0.20024821184217864,0.18168753648419947,0.11978959717452654,-0.13344619772724717,-0.14023529863570244,-0.2551309936440742,-0.1997418708030279,0.42501423584989445,0.1805437143063079,0.06778194540225232
2020-12-01,-0.05361798130865312,-0.1433857619233973,0.23559877418542766,0.07751145933966978,0.36980142442161346,0.41473025921880075,0.37110401269491217,-0.1001974332277685,0.1636011774266886,0.17346860024556138,0.14682081380569162,0.09614246074420799,-0.16693457344180668,-0.1888119798281166,-0.28544363541315976,-0.23857089644120794,0.37547610758707517,0.16456689782715628,0.030109438852698803
2021-03-01,-0.08485758117598473,-0.19072238441329387,0.2237040279116595,0.0596001494517369,0.39065786038014827,0.39846135711178865,0.325728735300835,-0.14006457324447108,0.13421928585515241,0.1438763277116458,0.12068782160804976,0.07836189491579637,-0.2195710605462071,-0.2351713416210607,-0.31349212634341783,-0.2732233926207047,0.33076853820823693,0.14238308337184113,-0.013368499614526325
2021-06-01,-0.11211596919996071,-0.2342142867818008,0.21421172967587,0.04837708038211226,0.3902015204472871,0.37823416936745813,0.2859445289027211,-0.1741869416684499,0.12303787714692886,0.11806730788409038,0.10081600441659033,0.05762929914976063,-0.2586505065101543,-0.2712971345070212,-0.32443240767120896,-0.2937396413294719,0.2916380831635847,0.12092160842800029,-0.05141391479530078
2021-10-01,-0.1329440363647376,-0.2691087218902867,0.20610836105424413,0.04126573804617799,0.37854283670830285,0.35668770893640517,0.25134174456396674,-0.20934403727142525,0.1080338600252929,0.09880626728905297,0.07415730546615003,0.024607403955334277,-0.2891959657166407,-0.30234336106245796,-0.3298344166894589,-0.30496337482277913,0.25764816582982397,0.10518961687904366,-0.07986856982896488
2022-01-01,-0.148924392967874,-0.3005441166391935,0.1993036648403348,0.0303895105696341,0.359745262970101,0.3367716251172299,0.22294563930550965,-0.23608649858411748,0.056464736852692085,0.07643246896070775,0.03803167157871602,0.012154336267312674,-0.3072590242852683,-0.3307486318284044,-0.33741322486369074,-0.32266478945207483,0.23007653021245367,0.08313883214326104,-0.07963225040982602
2022-04-01,-0.1385120459860152,-0.305883066886187,0.2035822847433262,0.026264173062013743,0.3354819736508965,0.3307629616277949,0.21842428504681421,-0.239476218063154,-0.014175232025685255,0.06746611659075462,-0.02956178421837015,-0.0571623692409295,-0.29305294684153893,-0.35310679997202965,-0.35371994300279,-0.3428668657962519,0.22647503432114907,0.0681637969869815,-0.005733124198267603
2022-07-01,-0.1030964991056132,-0.2775611950548903,0.1946682904250457,0.018535929634078366,0.2890406928788801,0.320448905591762,0.2214494969129973,-0.2064573263469413,-0.07665275849503121,0.06378276376008823,-0.10626105073714452,-0.12274636211089064,-0.2850887998815738,-0.3689090280505567,-0.3739494228733793,-0.36410058521521693,0.22999655136953784,0.05301108062004253,0.12003159412151226
2022-11-01,-0.029577526208407038,-0.21053905123088837,0.17204027828802648,0.014251397424309004,0.2295082468547187,0.3111793946216132,0.24360807862722605,-0.1072727262804501,-0.1260259135753365,0.07425393249528561,-0.14941048004834853,-0.16171714408779753,-0.2626957303232645,-0.36952514186294705,-0.3902624608810267,-0.372211681435247,0.2514773410192267,0.04866092326692903,0.2697285485243716
2023-02-01,0.08338260847718543,-0.00861181445279939,0.09555596879636759,-0.029913703747272556,0.10595003993785523,0.2725889161852101,0.28092325658958894,0.14361932097267593,-0.18898555730639172,0.05685760462684193,-0.08152456431948679,-0.10462113736232442,-0.29818051705636367,-0.3664956243867465,-0.41786186808882203,-0.39094321373153396,0.2781373438168343,0.006261202690088098,0.33653727940604844
